"url","count"
"https://test1.graana.rocks/residential/for_rent/islamabad/all/1",2617
"https://test1.graana.rocks/residential/for_rent/lahore/all/2",8317
"https://test1.graana.rocks/residential/for_rent/rawalpindi/all/3",404
"https://test1.graana.rocks/residential/for_rent/taxila/all/166",1
"https://test1.graana.rocks/residential/for_rent/multan/all/168",404
"https://test1.graana.rocks/residential/for_rent/karachi/all/169",5138
"https://test1.graana.rocks/residential/for_rent/faisalabad/all/170",588
"https://test1.graana.rocks/residential/for_rent/wah/all/173",1
"https://test1.graana.rocks/residential/for_rent/gujranwala/all/174",271
