"url","count"
"https://www.graana.com/guest house/for_sale/islamabad/all/1",1
"https://www.graana.com/guest-house/for_sale/lahore/all/2",0
"https://www.graana.com/guest-house/for_sale/rawalpindi/all/3",0
"https://www.graana.com/guest-house/for_sale/taxila/all/166",0
"https://www.graana.com/guest house/for_sale/multan/all/168",1
"https://www.graana.com/guest house/for_sale/karachi/all/169",3
"https://www.graana.com/guest-house/for_sale/faisalabad/all/170",0
"https://www.graana.com/guest-house/for_sale/wah/all/173",0
"https://www.graana.com/guest-house/for_sale/gujranwala/all/174",0
"https://www.graana.com/guest-house/for_sale/peshawar/all/176",0
"https://www.graana.com/guest-house/for_sale/gwadar/all/179",0
"https://www.graana.com/guest-house/for_sale/hyderabad/all/183",0
"https://www.graana.com/guest-house/for_sale/quetta/all/187",0
"https://www.graana.com/guest-house/for_sale/sialkot/all/190",0
"https://www.graana.com/guest-house/for_sale/jhelum/all/193",0
"https://www.graana.com/guest-house/for_sale/sukkur/all/207",0
"https://www.graana.com/guest-house/for_sale/gujrat/all/233",0
"https://www.graana.com/guest-house/for_sale/lalamusa/all/234",0
"https://www.graana.com/guest-house/for_sale/kharian/all/235",0
"https://www.graana.com/guest-house/for_sale/wazirabad/all/236",0
"https://www.graana.com/guest-house/for_sale/khanewal/all/240",0
"https://www.graana.com/guest-house/for_sale/dina/all/243",0
"https://www.graana.com/apartment/for_rent/islamabad/all/1",612
"https://www.graana.com/apartment/for_rent/lahore/all/2",943
"https://www.graana.com/apartment/for_rent/rawalpindi/all/3",129
"https://www.graana.com/apartment/for_rent/taxila/all/166",0
"https://www.graana.com/apartment/for_rent/multan/all/168",8
"https://www.graana.com/apartment/for_rent/karachi/all/169",2218
"https://www.graana.com/apartment/for_rent/faisalabad/all/170",25
"https://www.graana.com/apartment/for_rent/wah/all/173",0
"https://www.graana.com/apartment/for_rent/gujranwala/all/174",11
"https://www.graana.com/apartment/for_rent/peshawar/all/176",38
"https://www.graana.com/apartment/for_rent/gwadar/all/179",0
"https://www.graana.com/apartment/for_rent/hyderabad/all/183",119
"https://www.graana.com/apartment/for_rent/quetta/all/187",38
"https://www.graana.com/apartment/for_rent/sialkot/all/190",1
"https://www.graana.com/apartment/for_rent/jhelum/all/193",24
"https://www.graana.com/apartment/for_rent/sukkur/all/207",49
"https://www.graana.com/apartment/for_rent/gujrat/all/233",36
"https://www.graana.com/apartment/for_rent/lalamusa/all/234",0
"https://www.graana.com/apartment/for_rent/kharian/all/235",9
"https://www.graana.com/apartment/for_rent/wazirabad/all/236",1
"https://www.graana.com/apartment/for_rent/khanewal/all/240",0
"https://www.graana.com/apartment/for_rent/dina/all/243",0
"https://www.graana.com/apartment/for_sale/islamabad/all/1",805
"https://www.graana.com/apartment/for_sale/lahore/all/2",303
"https://www.graana.com/apartment/for_sale/rawalpindi/all/3",121
"https://www.graana.com/apartment/for_sale/taxila/all/166",0
"https://www.graana.com/apartment/for_sale/multan/all/168",4
"https://www.graana.com/apartment/for_sale/karachi/all/169",20026
"https://www.graana.com/apartment/for_sale/faisalabad/all/170",21
"https://www.graana.com/apartment/for_sale/wah/all/173",3
"https://www.graana.com/apartment/for_sale/gujranwala/all/174",1
"https://www.graana.com/apartment/for_sale/peshawar/all/176",20
"https://www.graana.com/apartment/for_sale/gwadar/all/179",0
"https://www.graana.com/apartment/for_sale/hyderabad/all/183",2164
"https://www.graana.com/apartment/for_sale/quetta/all/187",616
"https://www.graana.com/apartment/for_sale/sialkot/all/190",0
"https://www.graana.com/apartment/for_sale/jhelum/all/193",21
"https://www.graana.com/apartment/for_sale/sukkur/all/207",349
"https://www.graana.com/apartment/for_sale/gujrat/all/233",2
"https://www.graana.com/apartment/for_sale/lalamusa/all/234",0
"https://www.graana.com/apartment/for_sale/kharian/all/235",0
"https://www.graana.com/apartment/for_sale/wazirabad/all/236",0
"https://www.graana.com/apartment/for_sale/khanewal/all/240",0
"https://www.graana.com/apartment/for_sale/dina/all/243",0
"https://www.graana.com/hostel/for_rent/islamabad/all/1",0
"https://www.graana.com/hostel/for_rent/lahore/all/2",12
"https://www.graana.com/hostel/for_rent/rawalpindi/all/3",1
"https://www.graana.com/hostel/for_rent/taxila/all/166",0
"https://www.graana.com/hostel/for_rent/multan/all/168",0
"https://www.graana.com/hostel/for_rent/karachi/all/169",1
"https://www.graana.com/hostel/for_rent/faisalabad/all/170",2
"https://www.graana.com/hostel/for_rent/wah/all/173",0
"https://www.graana.com/hostel/for_rent/gujranwala/all/174",0
"https://www.graana.com/hostel/for_rent/peshawar/all/176",2
"https://www.graana.com/hostel/for_rent/gwadar/all/179",0
"https://www.graana.com/hostel/for_rent/hyderabad/all/183",0
"https://www.graana.com/hostel/for_rent/quetta/all/187",1
"https://www.graana.com/hostel/for_rent/sialkot/all/190",0
"https://www.graana.com/hostel/for_rent/jhelum/all/193",0
"https://www.graana.com/hostel/for_rent/sukkur/all/207",0
"https://www.graana.com/hostel/for_rent/gujrat/all/233",0
